System,HPW
Console,12
PC,14
PC,16
Console,8
Console,10
Console,8.5
PC,10
Console,14.5
PC,16.5
PC,20.5
Console,8
PC,7.5
Console,7.5
PC,19
Console,12
PC,24
PC,45
Console,10
PC,25
PC,6
Console,4
Console,15
Console,36
PC,28
Console,20
PC,22
Console,40
PC,18
PC,7
Console,34
Console,34
PC,35
Console,33.5
PC,40
Console,11
PC,5
Console,28
Console,17
PC,43
PC,9
Console,50
PC,3
PC,34
PC,22
Console,14
PC,7
Console,3
PC,12
Console,47.5
Console,26
PC,50
PC,8
Console,33
Console,19
PC,45
Console,2
PC,28
PC,17
PC,43
Console,9
Console,48.5
PC,3
Console,34
PC,22
Console,14
PC,7.5
Console,21
PC,5
Console,38
Console,29
PC,16
PC,44
Console,10
Console,31
PC,23
Console,4.5
PC,13.5
PC,48
PC,27.5
Console,18
Console,49
PC,11
Console,32
PC,20
Console,46.5
PC,6.5
Console,15.5
PC,42
Console,25
Console,30
PC,41
PC,24
Console,25
Console,40
PC,36.5
Console,39.5
PC,37
PC,50.5
PC,2.5
Console,28
Console,17
PC,43.5
Console,9
PC,35
Console,3
PC,34.5
Console,22
PC,14
Console,7
Console,21
PC,5
PC,38
Console,29
Console,18
PC,44.5
Console,10
PC,31
Console,23
PC,4
Console,13.5
Console,47
PC,29
Console,27
PC,18
Console,11.5
PC,24
Console,32
PC,20.5
Console,23
Console,6.5
PC,15
PC,42.5
Console,25
Console,30
PC,41.5
Console,24
PC,37
PC,15
PC,41
Console,39
Console,37
PC,9.5
Console,26.5
PC,17
Console,9.5
PC,36
Console,33.5
PC,24.5
Console,9
Console,37
PC,12
PC,28
Console,28
PC,44
PC,6
Console,19
PC,33
PC,9
PC,23
Console,41
Console,14.5
PC,30
Console,48
PC,3
Console,26
PC,47.5
Console,7
PC,36
Console,20
Console,38
PC,10
PC,34
Console,46
PC,44
PC,22.5
Console,35
PC,8
Console,43
PC,15
Console,29
Console,49
PC,5.5
Console,27
PC,45
Console,11
PC,25
Console,39
PC,14.5
Console,31
Console,50
PC,17
PC,32
Console,40.5
Console,16
PC,22
Console,34
PC,21.5
PC,42
Console,37.5
PC,28
Console,45
